location,total_cases,total_deaths,total_cases_per_million,total_deaths_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,total_tests_per_thousand,positive_rate,tests_per_case,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million,Life Expectancy (years) - Men,Life Expectancy (years) - Women,Happiness Score,Fertility Rate (births per woman)
Colombia,5138603.0,129866.0,99059.263,2503.488,2.01,,,,,,,,,29564153.0,573.877,0.341,27.0,64690489.0,38353097.0,28323837.0,3324832.0,124.71,73.94,54.6,6.41,81.02,44.223,32.2,7.646,4.312,13254.949,4.5,124.24,7.44,4.7,13.5,65.386,1.71,77.29,0.767,51874028.0,163914.56,38.4,113.48,3181.784,72.5,78.3,5.805,1.9
Comoros,6515.0,157.0,7785.77,187.623,1.11,,,,,,,,,,,,,581547.0,335408.0,246139.0,,69.5,40.08,29.41,,,437.352,20.4,2.963,1.726,1413.89,18.1,261.516,11.88,4.4,23.6,15.574,2.2,64.32,0.554,836783.0,,,,,69.6,74.2,4.365,3.9
Costa Rica,570960.0,7354.0,110206.152,1419.462,1.35,,,,,,,,,2266262.0,439.713,0.329,55.6,7756348.0,3944932.0,3505176.0,306240.0,149.71,76.14,67.66,5.91,66.67,96.079,33.6,9.468,5.694,15524.995,1.3,137.973,8.78,6.4,17.4,83.841,1.13,80.28,0.81,5180836.0,5981.4004,12.48,48.88,1160.5448,79.1,83.1,6.707,1.9
Cote d'Ivoire,68146.0,712.0,2419.91,25.284,2.25,,,,,,,,,1233370.0,44.885,0.2794,221.2,7113233.0,4950775.0,2162458.0,,25.26,17.58,7.68,,25.93,76.399,18.7,2.933,1.582,3601.006,28.2,303.74,2.42,,,19.351,,57.78,0.538,28160548.0,,,,,59.3,66.3,4.664,4.9
Croatia,709678.0,12493.0,176082.986,3099.722,1.47,,,2729.0,677.111,,,1871.0,464.28,3757416.0,925.441,0.4708,56.9,4729751.0,2259393.0,1953540.0,,117.35,56.06,48.47,,62.04,73.726,44.0,19.724,13.053,22669.797,0.7,253.782,5.59,34.3,39.9,,5.54,78.49,0.851,4030361.0,16540.4,16.13,84.89,4073.8508,76.5,81.5,5.872,1.4
Cuba,965571.0,8322.0,86117.905,742.227,2.24,,,,,,,,,5296762.0,470.557,0.0879,82.5,30874045.0,10448955.0,9672464.0,2174094.0,275.36,93.19,86.27,19.39,81.48,110.408,43.1,14.738,9.719,,,190.968,8.27,17.1,53.3,85.198,5.2,78.8,0.783,11212198.0,53645.6,25.52,194.86,4765.7983,78.1,81.5,6.376,1.7
Cyprus,161779.0,646.0,180555.509,720.977,1.73,57.0,63.616,301.0,335.935,28.0,30.949,245.0,273.017,19402172.0,21654.041,0.0558,790.4,1541159.0,640890.0,607884.0,268304.0,172.0,71.53,67.84,29.94,84.26,127.657,37.3,13.416,8.563,32415.132,,141.171,9.24,19.6,52.7,,3.4,80.98,0.887,896007.0,1211.2,9.71,57.8,973.48236,78.6,82.6,6.749,1.3
Denmark,783702.0,3256.0,133231.468,553.529,1.42,141.0,23.97,964.0,163.883,,,1062.0,180.543,53569800.0,9150.599,0.1133,424.5,11949786.0,4718366.0,4532089.0,2744398.0,203.15,80.21,77.05,46.66,70.37,136.52,42.3,19.677,12.325,46682.515,0.2,114.767,6.41,19.3,18.8,,2.5,80.9,0.94,5882259.0,801.2998,0.73,17.33,136.87498,78.9,82.7,7.596,1.7
Djibouti,13632.0,189.0,12162.187,168.622,1.99,,,,,,,,,,,,,64721.0,38634.0,26087.0,,5.77,3.45,2.33,,49.07,41.285,25.4,4.213,2.38,2705.406,22.5,258.037,6.05,1.7,24.5,,1.4,67.11,0.524,1120851.0,,,,,65.7,71.3,4.526,3.7
Dominica,6814.0,47.0,93652.932,645.977,1.08,,,,,,,,,,,,,57044.0,29426.0,27618.0,,78.4,40.44,37.96,,73.24,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75.0,0.742,72758.0,,,,,74.5,79.2,6.175,2.1
Dominican Republic,417268.0,4246.0,37160.446,378.134,1.62,,,,,,,,,2191882.0,197.149,0.5118,43.2,14086551.0,6938596.0,5699587.0,1448368.0,125.45,61.79,50.76,12.9,71.3,222.873,27.6,6.981,4.419,14600.861,1.6,266.653,8.2,8.5,19.1,55.182,1.6,74.08,0.756,11228821.0,7128.401,8.19,36.03,641.1659,73.9,78.8,5.972,2.2
Ecuador,545800.0,33669.0,30320.534,1870.396,1.26,,,,,,,,,2046961.0,115.012,0.411,14.5,27566331.0,14224604.0,12690467.0,1127965.0,153.14,79.02,70.5,6.27,75.46,66.939,28.1,7.104,4.458,10581.936,3.6,140.448,5.55,2.0,12.3,80.635,1.5,77.01,0.759,18001002.0,67451.8,56.37,117.54,3789.909,76.5,81.5,5.958,2.1
Egypt,384728.0,21727.0,3466.327,195.756,1.43,,,,,,,,,,,,,52819190.0,33098284.0,20627388.0,,47.59,29.82,18.58,,59.26,97.999,25.3,5.159,2.891,10550.206,1.3,525.432,17.31,0.2,50.1,89.827,1.6,71.99,0.707,110990096.0,280173.22,25.55,68.85,2564.2285,73.3,77.3,5.041,3.4
El Salvador,121741.0,3823.0,19212.981,603.34,1.19,,,,,,,,,1162090.0,184.045,0.136,76.9,9620698.0,4483699.0,4156783.0,980216.0,151.83,70.76,65.6,15.47,47.22,307.811,27.6,8.273,5.417,7292.458,2.2,167.295,8.87,2.5,18.8,90.65,1.3,73.32,0.673,6336393.0,,,,,74.1,78.4,5.788,2.2
